nActionDay,nTime,nPrice,nVolume
20200226,93207340,4671100,600
20200226,93209330,4679700,100
20200226,93209700,4678300,100
20200226,93210050,4680000,100
20200226,93210340,4678300,200
20200226,93210350,4671100,300
20200226,93212010,4671100,100
20200226,93212010,4671100,100
20200226,93212010,4671100,300
20200226,93212010,4671100,200
20200226,93212010,4671100,100
20200226,93213120,4679700,100
20200226,93213180,4679900,100
20200226,93213360,4670200,100
20200226,93213370,4670200,100
20200226,93213370,4670200,100
20200226,93213370,4670200,200
20200226,93213370,4670200,100
20200226,93215540,4680000,100
20200226,93216360,4679900,600
20200226,93216910,4671200,100
20200226,93217440,4670100,400
20200226,93217560,4679400,200
20200226,93217630,4679400,100
20200226,93218600,4678300,100
20200226,93219210,4678300,200
20200226,93219360,4670200,100
20200226,93219360,4670200,400
20200226,93221070,4678300,100
20200226,93221430,4673300,100
20200226,93221430,4673300,100
20200226,93221430,4673300,100
20200226,93221440,4673300,100
20200226,93221440,4673300,100
20200226,93221440,4673300,100
20200226,93221440,4673300,100
20200226,93221440,4673300,100
20200226,93221710,4680000,100
20200226,93221760,4680000,200
20200226,93222370,4670300,100
20200226,93222370,4670300,100
20200226,93222370,4670200,500
20200226,93224020,4679300,200
20200226,93225390,4671100,100
20200226,93225390,4670300,100
20200226,93225390,4670300,100
20200226,93225390,4670300,100
20200226,93225390,4670300,100
20200226,93225390,4670300,100
20200226,93225740,4670300,100
20200226,93225860,4670200,1100
20200226,93225860,4670200,200
20200226,93225860,4670200,100
20200226,93225860,4670100,1000
20200226,93225860,4670100,900
20200226,93225860,4670100,300
20200226,93227870,4671100,100
20200226,93227870,4679500,100
20200226,93228410,4670800,100
20200226,93228410,4670400,100
20200226,93228410,4670400,100
20200226,93228440,4679300,100
20200226,93230520,4671100,100
20200226,93230520,4674600,100
20200226,93231510,4671100,100
20200226,93231510,4671100,200
20200226,93232300,4671100,100
20200226,93232300,4671100,100
20200226,93234420,4672200,100
20200226,93234420,4671100,100
20200226,93234420,4670400,100
20200226,93234910,4670400,100
20200226,93235410,4670100,700
20200226,93235410,4670100,100
20200226,93235980,4670200,100
20200226,93236420,4670100,200
20200226,93236690,4670100,700
20200226,93236910,4670000,200
20200226,93237450,4670000,200
20200226,93237450,4670000,100
20200226,93238670,4674600,100
20200226,93238940,4674600,100
20200226,93238940,4674600,200
20200226,93239490,4670400,100
20200226,93239510,4671100,100
20200226,93239560,4670000,100
20200226,93239560,4670000,100
20200226,93239620,4669600,100
20200226,93240470,4669000,100
20200226,93241140,4669000,100
20200226,93241140,4669100,200
20200226,93241640,4669100,300
20200226,93241640,4669600,200
20200226,93242420,4669600,100
20200226,93242700,4669600,100
20200226,93243250,4668700,69
20200226,93243250,4668700,100
20200226,93243250,4668700,100
20200226,93243250,4668700,100
20200226,93243250,4668700,100
20200226,93243340,4668200,100
20200226,93243420,4666000,200
20200226,93244750,4668200,100
20200226,93245750,4668200,100
20200226,93245920,4668200,100
20200226,93246130,4668200,200
20200226,93246430,4666000,300
20200226,93246660,4668200,100
20200226,93246810,4666000,200
20200226,93246810,4665800,300
20200226,93249380,4666000,100
20200226,93249390,4665800,300
20200226,93249830,4666000,300
20200226,93249830,4668200,31
20200226,93249830,4668200,69
20200226,93251240,4668200,31
20200226,93251240,4670000,69
20200226,93252400,4669600,200
20200226,93254600,4665800,400
20200226,93255430,4665800,100
20200226,93255430,4665100,100
20200226,93256000,4665800,100
20200226,93257640,4667400,100
20200226,93258320,4670000,31
20200226,93258320,4670100,69
20200226,93258440,4665800,100
20200226,93258440,4665100,100
20200226,93300680,4668200,100
20200226,93301450,4668200,100
20200226,93301450,4668200,100
20200226,93301650,4668200,100
20200226,93302340,4668800,100
20200226,93303810,4668700,200
20200226,93304010,4668200,100
20200226,93304490,4665800,100
20200226,93304540,4665800,100
20200226,93304970,4665800,100
20200226,93304970,4668800,100
20200226,93304970,4668800,100
20200226,93305380,4669300,100
20200226,93305420,4669000,100
20200226,93305420,4669000,100
20200226,93305420,4669000,100
20200226,93305890,4667700,100
20200226,93306010,4667700,100
20200226,93306710,4667700,100
20200226,93306720,4667700,100
20200226,93306790,4667700,100
20200226,93307070,4667700,100
20200226,93307380,4667700,100
20200226,93307410,4668800,100
20200226,93307430,4665800,100
20200226,93307450,4665800,200
20200226,93308960,4669900,100
20200226,93309150,4669000,100
20200226,93309150,4665000,400
20200226,93309480,4665800,100
20200226,93309630,4665800,100
20200226,93309750,4669000,100
20200226,93310490,4666000,100
20200226,93310490,4665800,100
20200226,93310650,4665800,100
20200226,93311230,4667700,100
20200226,93311720,4665800,400
20200226,93312430,4668800,100
20200226,93313450,4666000,200
20200226,93313550,4666000,100
20200226,93313550,4665100,100
20200226,93314040,4668900,100
20200226,93315750,4665000,100
20200226,93315750,4665000,100
20200226,93315800,4669000,100
20200226,93315810,4670000,200
20200226,93315810,4670000,100
20200226,93316550,4665000,200
20200226,93317330,4665000,200
20200226,93317330,4665000,100
20200226,93317330,4665000,100
20200226,93317330,4665000,200
20200226,93317330,4665000,100
20200226,93317330,4665000,100
20200226,93317330,4665000,100
20200226,93317330,4665000,100
20200226,93317360,4670100,100
20200226,93317370,4670100,31
20200226,93317370,4670100,69
20200226,93318290,4665100,100
20200226,93319480,4668000,100
20200226,93319720,4665100,100
20200226,93321600,4669000,100
20200226,93321600,4668800,200
20200226,93321640,4669100,800
20200226,93321640,4665100,600
20200226,93321640,4665000,100
20200226,93321640,4665000,600
20200226,93321950,4665000,500
20200226,93322090,4665000,200
20200226,93322880,4665000,100
20200226,93323240,4665000,100
